Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;25902 Sant Martí de Riucorb;4 personas;39
Total Nacional;25902 Sant Martí de Riucorb;5 o más personas;20
Total Nacional;25903 Guingueta d'Àneu, La;Total (tamaño del hogar);137
Total Nacional;25903 Guingueta d'Àneu, La;1 persona;66
Total Nacional;25903 Guingueta d'Àneu, La;2 personas;24
Total Nacional;25903 Guingueta d'Àneu, La;3 personas;20
Total Nacional;25903 Guingueta d'Àneu, La;4 personas;18
Total Nacional;25903 Guingueta d'Àneu, La;5 o más personas;9
Total Nacional;25904 Castell de Mur;Total (tamaño del hogar);84
Total Nacional;25904 Castell de Mur;1 persona;40
Total Nacional;25904 Castell de Mur;2 personas;19
Total Nacional;25904 Castell de Mur;3 personas;14
Total Nacional;25904 Castell de Mur;4 personas;7
Total Nacional;25904 Castell de Mur;5 o más personas;4
Total Nacional;25905 Ribera d'Ondara;Total (tamaño del hogar);170
Total Nacional;25905 Ribera d'Ondara;1 persona;51
Total Nacional;25905 Ribera d'Ondara;2 personas;44
Total Nacional;25905 Ribera d'Ondara;3 personas;31
Total Nacional;25905 Ribera d'Ondara;4 personas;29
Total Nacional;25905 Ribera d'Ondara;5 o más personas;15
Total Nacional;25906 Valls d'Aguilar, Les;Total (tamaño del hogar);126
Total Nacional;25906 Valls d'Aguilar, Les;1 persona;51
Total Nacional;25906 Valls d'Aguilar, Les;2 personas;34
Total Nacional;25906 Valls d'Aguilar, Les;3 personas;21
Total Nacional;25906 Valls d'Aguilar, Les;4 personas;12
Total Nacional;25906 Valls d'Aguilar, Les;5 o más personas;8
Total Nacional;25907 Torrefeta i Florejacs;Total (tamaño del hogar);246
Total Nacional;25907 Torrefeta i Florejacs;1 persona;88
Total Nacional;25907 Torrefeta i Florejacs;2 personas;65
Total Nacional;25907 Torrefeta i Florejacs;3 personas;35
Total Nacional;25907 Torrefeta i Florejacs;4 personas;32
Total Nacional;25907 Torrefeta i Florejacs;5 o más personas;26
Total Nacional;25908 Fígols i Alinyà;Total (tamaño del hogar);93
Total Nacional;25908 Fígols i Alinyà;1 persona;31
Total Nacional;25908 Fígols i Alinyà;2 personas;17
Total Nacional;25908 Fígols i Alinyà;3 personas;17
Total Nacional;25908 Fígols i Alinyà;4 personas;13
Total Nacional;25908 Fígols i Alinyà;5 o más personas;15
Total Nacional;25909 Vansa i Fórnols, La;Total (tamaño del hogar);76
Total Nacional;25909 Vansa i Fórnols, La;1 persona;32
Total Nacional;25909 Vansa i Fórnols, La;2 personas;25
Total Nacional;25909 Vansa i Fórnols, La;3 personas;7
Total Nacional;25909 Vansa i Fórnols, La;4 personas;7
Total Nacional;25909 Vansa i Fórnols, La;5 o más personas;5
Total Nacional;25910 Josa i Tuixén;Total (tamaño del hogar);61
Total Nacional;25910 Josa i Tuixén;1 persona;39
Total Nacional;25910 Josa i Tuixén;2 personas;12
Total Nacional;25910 Josa i Tuixén;3 personas;5
Total Nacional;25910 Josa i Tuixén;4 personas;3
Total Nacional;25910 Josa i Tuixén;5 o más personas;2
Total Nacional;25911 Plans de Sió, Els;Total (tamaño del hogar);209
Total Nacional;25911 Plans de Sió, Els;1 persona;70
Total Nacional;25911 Plans de Sió, Els;2 personas;60
Total Nacional;25911 Plans de Sió, Els;3 personas;36
Total Nacional;25911 Plans de Sió, Els;4 personas;28
Total Nacional;25911 Plans de Sió, Els;5 o más personas;15
Total Nacional;25912 Gimenells i el Pla de la Font;Total (tamaño del hogar);405
Total Nacional;25912 Gimenells i el Pla de la Font;1 persona;97
Total Nacional;25912 Gimenells i el Pla de la Font;2 personas;101
Total Nacional;25912 Gimenells i el Pla de la Font;3 personas;89
Total Nacional;25912 Gimenells i el Pla de la Font;4 personas;76
Total Nacional;25912 Gimenells i el Pla de la Font;5 o más personas;42
Total Nacional;25913 Riu de Cerdanya;Total (tamaño del hogar);47
Total Nacional;25913 Riu de Cerdanya;1 persona;23
Total Nacional;25913 Riu de Cerdanya;2 personas;11
Total Nacional;25913 Riu de Cerdanya;3 personas;6
Total Nacional;25913 Riu de Cerdanya;4 personas;4
Total Nacional;25913 Riu de Cerdanya;5 o más personas;3
Total Nacional;26001 Ábalos;Total (tamaño del hogar);112
Total Nacional;26001 Ábalos;1 persona;46
Total Nacional;26001 Ábalos;2 personas;31
Total Nacional;26001 Ábalos;3 personas;18
Total Nacional;26001 Ábalos;4 personas;13
Total Nacional;26001 Ábalos;5 o más personas;4
Total Nacional;26002 Agoncillo;Total (tamaño del hogar);495
Total Nacional;26002 Agoncillo;1 persona;182
Total Nacional;26002 Agoncillo;2 personas;127
Total Nacional;26002 Agoncillo;3 personas;88
Total Nacional;26002 Agoncillo;4 personas;71
Total Nacional;26002 Agoncillo;5 o más personas;27
Total Nacional;26003 Aguilar del Río Alhama;Total (tamaño del hogar);215
Total Nacional;26003 Aguilar del Río Alhama;1 persona;83
Total Nacional;26003 Aguilar del Río Alhama;2 personas;68
Total Nacional;26003 Aguilar del Río Alhama;3 personas;27
Total Nacional;26003 Aguilar del Río Alhama;4 personas;31
Total Nacional;26003 Aguilar del Río Alhama;5 o más personas;6
Total Nacional;26004 Ajamil de Cameros;Total (tamaño del hogar);35
Total Nacional;26004 Ajamil de Cameros;1 persona;18
Total Nacional;26004 Ajamil de Cameros;2 personas;10
Total Nacional;26004 Ajamil de Cameros;3 personas;5
Total Nacional;26004 Ajamil de Cameros;4 personas;1
Total Nacional;26004 Ajamil de Cameros;5 o más personas;1
Total Nacional;26005 Albelda de Iregua;Total (tamaño del hogar);1.370
Total Nacional;26005 Albelda de Iregua;1 persona;419
Total Nacional;26005 Albelda de Iregua;2 personas;375
Total Nacional;26005 Albelda de Iregua;3 personas;250
Total Nacional;26005 Albelda de Iregua;4 personas;223
Total Nacional;26005 Albelda de Iregua;5 o más personas;103
Total Nacional;26006 Alberite;Total (tamaño del hogar);1.032
Total Nacional;26006 Alberite;1 persona;312
Total Nacional;26006 Alberite;2 personas;287
Total Nacional;26006 Alberite;3 personas;205
Total Nacional;26006 Alberite;4 personas;157
Total Nacional;26006 Alberite;5 o más personas;71
Total Nacional;26007 Alcanadre;Total (tamaño del hogar);301
Total Nacional;26007 Alcanadre;1 persona;123
Total Nacional;26007 Alcanadre;2 personas;80
Total Nacional;26007 Alcanadre;3 personas;47
Total Nacional;26007 Alcanadre;4 personas;41
Total Nacional;26007 Alcanadre;5 o más personas;10
Total Nacional;26008 Aldeanueva de Ebro;Total (tamaño del hogar);1.042
Total Nacional;26008 Aldeanueva de Ebro;1 persona;253
Total Nacional;26008 Aldeanueva de Ebro;2 personas;291
Total Nacional;26008 Aldeanueva de Ebro;3 personas;204
Total Nacional;26008 Aldeanueva de Ebro;4 personas;213
Total Nacional;26008 Aldeanueva de Ebro;5 o más personas;81
Total Nacional;26009 Alesanco;Total (tamaño del hogar);233
Total Nacional;26009 Alesanco;1 persona;89
Total Nacional;26009 Alesanco;2 personas;73
Total Nacional;26009 Alesanco;3 personas;35
Total Nacional;26009 Alesanco;4 personas;30
Total Nacional;26009 Alesanco;5 o más personas;6
Total Nacional;26010 Alesón;Total (tamaño del hogar);41
Total Nacional;26010 Alesón;1 persona;16
Total Nacional;26010 Alesón;2 personas;9
Total Nacional;26010 Alesón;3 personas;8
Total Nacional;26010 Alesón;4 personas;6
Total Nacional;26010 Alesón;5 o más personas;2
Total Nacional;26011 Alfaro;Total (tamaño del hogar);3.813
Total Nacional;26011 Alfaro;1 persona;979
Total Nacional;26011 Alfaro;2 personas;1.132
Total Nacional;26011 Alfaro;3 personas;806
Total Nacional;26011 Alfaro;4 personas;667
Total Nacional;26011 Alfaro;5 o más personas;229
Total Nacional;26012 Almarza de Cameros;Total (tamaño del hogar);17
Total Nacional;26012 Almarza de Cameros;1 persona;8
Total Nacional;26012 Almarza de Cameros;2 personas;3
Total Nacional;26012 Almarza de Cameros;3 personas;3
Total Nacional;26012 Almarza de Cameros;4 personas;1
Total Nacional;26012 Almarza de Cameros;5 o más personas;2
Total Nacional;26013 Anguciana;Total (tamaño del hogar);193
Total Nacional;26013 Anguciana;1 persona;73
Total Nacional;26013 Anguciana;2 personas;56
Total Nacional;26013 Anguciana;3 personas;34
Total Nacional;26013 Anguciana;4 personas;20
Total Nacional;26013 Anguciana;5 o más personas;10
Total Nacional;26014 Anguiano;Total (tamaño del hogar);219
Total Nacional;26014 Anguiano;1 persona;99
Total Nacional;26014 Anguiano;2 personas;59
Total Nacional;26014 Anguiano;3 personas;37
Total Nacional;26014 Anguiano;4 personas;17
Total Nacional;26014 Anguiano;5 o más personas;7
Total Nacional;26015 Arenzana de Abajo;Total (tamaño del hogar);120
Total Nacional;26015 Arenzana de Abajo;1 persona;60
Total Nacional;26015 Arenzana de Abajo;2 personas;21
Total Nacional;26015 Arenzana de Abajo;3 personas;18
Total Nacional;26015 Arenzana de Abajo;4 personas;19
Total Nacional;26015 Arenzana de Abajo;5 o más personas;2
Total Nacional;26016 Arenzana de Arriba;Total (tamaño del hogar);17
Total Nacional;26016 Arenzana de Arriba;1 persona;10
Total Nacional;26016 Arenzana de Arriba;2 personas;4
Total Nacional;26016 Arenzana de Arriba;3 personas;2
Total Nacional;26016 Arenzana de Arriba;4 personas;1
Total Nacional;26016 Arenzana de Arriba;5 o más personas;0
Total Nacional;26017 Arnedillo;Total (tamaño del hogar);213
Total Nacional;26017 Arnedillo;1 persona;84
Total Nacional;26017 Arnedillo;2 personas;62
Total Nacional;26017 Arnedillo;3 personas;36
Total Nacional;26017 Arnedillo;4 personas;22
Total Nacional;26017 Arnedillo;5 o más personas;9
Total Nacional;26018 Arnedo;Total (tamaño del hogar);5.744
Total Nacional;26018 Arnedo;1 persona;1.394
Total Nacional;26018 Arnedo;2 personas;1.656
Total Nacional;26018 Arnedo;3 personas;1.201
Total Nacional;26018 Arnedo;4 personas;1.114
Total Nacional;26018 Arnedo;5 o más personas;379
Total Nacional;26019 Arrúbal;Total (tamaño del hogar);229
Total Nacional;26019 Arrúbal;1 persona;61
Total Nacional;26019 Arrúbal;2 personas;81
Total Nacional;26019 Arrúbal;3 personas;48
Total Nacional;26019 Arrúbal;4 personas;27
Total Nacional;26019 Arrúbal;5 o más personas;12
Total Nacional;26020 Ausejo;Total (tamaño del hogar);322
Total Nacional;26020 Ausejo;1 persona;97
Total Nacional;26020 Ausejo;2 personas;101
Total Nacional;26020 Ausejo;3 personas;59
Total Nacional;26020 Ausejo;4 personas;45
Total Nacional;26020 Ausejo;5 o más personas;20
Total Nacional;26021 Autol;Total (tamaño del hogar);1.741
Total Nacional;26021 Autol;1 persona;408
Total Nacional;26021 Autol;2 personas;462
Total Nacional;26021 Autol;3 personas;375
Total Nacional;26021 Autol;4 personas;337
Total Nacional;26021 Autol;5 o más personas;159
Total Nacional;26022 Azofra;Total (tamaño del hogar);112
Total Nacional;26022 Azofra;1 persona;51
Total Nacional;26022 Azofra;2 personas;34
Total Nacional;26022 Azofra;3 personas;16
Total Nacional;26022 Azofra;4 personas;8
Total Nacional;26022 Azofra;5 o más personas;3
Total Nacional;26023 Badarán;Total (tamaño del hogar);233
Total Nacional;26023 Badarán;1 persona;98
Total Nacional;26023 Badarán;2 personas;63
Total Nacional;26023 Badarán;3 personas;36
Total Nacional;26023 Badarán;4 personas;22
Total Nacional;26023 Badarán;5 o más personas;14
Total Nacional;26024 Bañares;Total (tamaño del hogar);110
Total Nacional;26024 Bañares;1 persona;49
Total Nacional;26024 Bañares;2 personas;30
Total Nacional;26024 Bañares;3 personas;18
Total Nacional;26024 Bañares;4 personas;9
Total Nacional;26024 Bañares;5 o más personas;4
Total Nacional;26025 Baños de Rioja;Total (tamaño del hogar);44
Total Nacional;26025 Baños de Rioja;1 persona;18
Total Nacional;26025 Baños de Rioja;2 personas;15
Total Nacional;26025 Baños de Rioja;3 personas;11
Total Nacional;26025 Baños de Rioja;4 personas;0
Total Nacional;26025 Baños de Rioja;5 o más personas;0
Total Nacional;26026 Baños de Río Tobía;Total (tamaño del hogar);645
Total Nacional;26026 Baños de Río Tobía;1 persona;183
Total Nacional;26026 Baños de Río Tobía;2 personas;181
Total Nacional;26026 Baños de Río Tobía;3 personas;118
Total Nacional;26026 Baños de Río Tobía;4 personas;141
Total Nacional;26026 Baños de Río Tobía;5 o más personas;22
Total Nacional;26027 Berceo;Total (tamaño del hogar);77
Total Nacional;26027 Berceo;1 persona;33
Total Nacional;26027 Berceo;2 personas;26
Total Nacional;26027 Berceo;3 personas;13
Total Nacional;26027 Berceo;4 personas;4
Total Nacional;26027 Berceo;5 o más personas;1
Total Nacional;26028 Bergasa;Total (tamaño del hogar);67
Total Nacional;26028 Bergasa;1 persona;27
Total Nacional;26028 Bergasa;2 personas;18
Total Nacional;26028 Bergasa;3 personas;12
Total Nacional;26028 Bergasa;4 personas;7
Total Nacional;26028 Bergasa;5 o más personas;3
Total Nacional;26029 Bergasillas Bajera;Total (tamaño del hogar);25
Total Nacional;26029 Bergasillas Bajera;1 persona;19
Total Nacional;26029 Bergasillas Bajera;2 personas;4
Total Nacional;26029 Bergasillas Bajera;3 personas;1
Total Nacional;26029 Bergasillas Bajera;4 personas;1
Total Nacional;26029 Bergasillas Bajera;5 o más personas;0
Total Nacional;26030 Bezares;Total (tamaño del hogar);10
Total Nacional;26030 Bezares;1 persona;5
Total Nacional;26030 Bezares;2 personas;1
Total Nacional;26030 Bezares;3 personas;2
Total Nacional;26030 Bezares;4 personas;1
Total Nacional;26030 Bezares;5 o más personas;1
Total Nacional;26031 Bobadilla;Total (tamaño del hogar);52
Total Nacional;26031 Bobadilla;1 persona;20
Total Nacional;26031 Bobadilla;2 personas;21
Total Nacional;26031 Bobadilla;3 personas;6
Total Nacional;26031 Bobadilla;4 personas;5
Total Nacional;26031 Bobadilla;5 o más personas;0
Total Nacional;26032 Brieva de Cameros;Total (tamaño del hogar);29
Total Nacional;26032 Brieva de Cameros;1 persona;20
Total Nacional;26032 Brieva de Cameros;2 personas;5
Total Nacional;26032 Brieva de Cameros;3 personas;4
Total Nacional;26032 Brieva de Cameros;4 personas;0
Total Nacional;26032 Brieva de Cameros;5 o más personas;0
Total Nacional;26033 Briñas;Total (tamaño del hogar);82
Total Nacional;26033 Briñas;1 persona;29
Total Nacional;26033 Briñas;2 personas;27
Total Nacional;26033 Briñas;3 personas;10
Total Nacional;26033 Briñas;4 personas;8
Total Nacional;26033 Briñas;5 o más personas;8
Total Nacional;26034 Briones;Total (tamaño del hogar);341
Total Nacional;26034 Briones;1 persona;115
Total Nacional;26034 Briones;2 personas;105
Total Nacional;26034 Briones;3 personas;72
Total Nacional;26034 Briones;4 personas;37
Total Nacional;26034 Briones;5 o más personas;12
Total Nacional;26035 Cabezón de Cameros;Total (tamaño del hogar);11
Total Nacional;26035 Cabezón de Cameros;1 persona;7
Total Nacional;26035 Cabezón de Cameros;2 personas;1
Total Nacional;26035 Cabezón de Cameros;3 personas;2
Total Nacional;26035 Cabezón de Cameros;4 personas;1
Total Nacional;26035 Cabezón de Cameros;5 o más personas;0
Total Nacional;26036 Calahorra;Total (tamaño del hogar);9.472
Total Nacional;26036 Calahorra;1 persona;2.427
Total Nacional;26036 Calahorra;2 personas;2.696
Total Nacional;26036 Calahorra;3 personas;1.991
Total Nacional;26036 Calahorra;4 personas;1.645
Total Nacional;26036 Calahorra;5 o más personas;713
Total Nacional;26037 Camprovín;Total (tamaño del hogar);76
Total Nacional;26037 Camprovín;1 persona;28
Total Nacional;26037 Camprovín;2 personas;23
Total Nacional;26037 Camprovín;3 personas;12
Total Nacional;26037 Camprovín;4 personas;8
Total Nacional;26037 Camprovín;5 o más personas;5
Total Nacional;26038 Canales de la Sierra;Total (tamaño del hogar);49
Total Nacional;26038 Canales de la Sierra;1 persona;30
Total Nacional;26038 Canales de la Sierra;2 personas;15
Total Nacional;26038 Canales de la Sierra;3 personas;2
Total Nacional;26038 Canales de la Sierra;4 personas;0
Total Nacional;26038 Canales de la Sierra;5 o más personas;2
Total Nacional;26039 Canillas de Río Tuerto;Total (tamaño del hogar);18
Total Nacional;26039 Canillas de Río Tuerto;1 persona;7
Total Nacional;26039 Canillas de Río Tuerto;2 personas;5
Total Nacional;26039 Canillas de Río Tuerto;3 personas;3
Total Nacional;26039 Canillas de Río Tuerto;4 personas;2
Total Nacional;26039 Canillas de Río Tuerto;5 o más personas;1
Total Nacional;26040 Cañas;Total (tamaño del hogar);38
Total Nacional;26040 Cañas;1 persona;14
Total Nacional;26040 Cañas;2 personas;12
Total Nacional;26040 Cañas;3 personas;5
Total Nacional;26040 Cañas;4 personas;2
Total Nacional;26040 Cañas;5 o más personas;5
Total Nacional;26041 Cárdenas;Total (tamaño del hogar);69
Total Nacional;26041 Cárdenas;1 persona;29
Total Nacional;26041 Cárdenas;2 personas;24
Total Nacional;26041 Cárdenas;3 personas;9
Total Nacional;26041 Cárdenas;4 personas;5
Total Nacional;26041 Cárdenas;5 o más personas;2
Total Nacional;26042 Casalarreina;Total (tamaño del hogar);476
Total Nacional;26042 Casalarreina;1 persona;182
Total Nacional;26042 Casalarreina;2 personas;133
Total Nacional;26042 Casalarreina;3 personas;76
Total Nacional;26042 Casalarreina;4 personas;59
Total Nacional;26042 Casalarreina;5 o más personas;26
Total Nacional;26043 Castañares de Rioja;Total (tamaño del hogar);218
Total Nacional;26043 Castañares de Rioja;1 persona;98
Total Nacional;26043 Castañares de Rioja;2 personas;71
Total Nacional;26043 Castañares de Rioja;3 personas;30
Total Nacional;26043 Castañares de Rioja;4 personas;16
Total Nacional;26043 Castañares de Rioja;5 o más personas;3
Total Nacional;26044 Castroviejo;Total (tamaño del hogar);19
Total Nacional;26044 Castroviejo;1 persona;8
Total Nacional;26044 Castroviejo;2 personas;3
Total Nacional;26044 Castroviejo;3 personas;4
Total Nacional;26044 Castroviejo;4 personas;3
Total Nacional;26044 Castroviejo;5 o más personas;1
Total Nacional;26045 Cellorigo;Total (tamaño del hogar);5
Total Nacional;26045 Cellorigo;1 persona;3
Total Nacional;26045 Cellorigo;2 personas;0
Total Nacional;26045 Cellorigo;3 personas;1
Total Nacional;26045 Cellorigo;4 personas;1
Total Nacional;26045 Cellorigo;5 o más personas;0
Total Nacional;26046 Cenicero;Total (tamaño del hogar);902
